country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Argentina,2013,male,75+ years,168,699046,0.82,"552,025,140,252",14206,Silent
Argentina,2013,male,15-24 years,696,3486661,0.82,"552,025,140,252",14206,Millenials
Argentina,2013,male,25-34 years,499,3271373,0.82,"552,025,140,252",14206,Millenials
Argentina,2013,male,55-74 years,398,2894129,0.82,"552,025,140,252",14206,Boomers
Argentina,2013,male,35-54 years,604,4950850,0.82,"552,025,140,252",14206,Generation X
Argentina,2013,female,15-24 years,167,3384642,0.82,"552,025,140,252",14206,Millenials
Argentina,2013,female,25-34 years,102,3226464,0.82,"552,025,140,252",14206,Millenials
Argentina,2013,female,35-54 years,157,5099167,0.82,"552,025,140,252",14206,Generation X
Argentina,2013,female,55-74 years,102,3390673,0.82,"552,025,140,252",14206,Boomers
Argentina,2013,female,75+ years,29,1303352,0.82,"552,025,140,252",14206,Silent
Argentina,2013,female,5-14 years,32,3515742,0.82,"552,025,140,252",14206,Generation Z
Argentina,2013,male,5-14 years,33,3637026,0.82,"552,025,140,252",14206,Generation Z
Argentina,2014,male,75+ years,192,706897,0.82,"526,319,673,732",13400,Silent
Argentina,2014,male,15-24 years,738,3492454,0.82,"526,319,673,732",13400,Millenials
Argentina,2014,male,25-34 years,531,3276955,0.82,"526,319,673,732",13400,Millenials
Argentina,2014,male,55-74 years,405,2951616,0.82,"526,319,673,732",13400,Boomers
Argentina,2014,male,35-54 years,644,5060862,0.82,"526,319,673,732",13400,Generation X
Argentina,2014,female,15-24 years,204,3388324,0.82,"526,319,673,732",13400,Millenials
Argentina,2014,female,35-54 years,196,5203634,0.82,"526,319,673,732",13400,Generation X
Argentina,2014,female,25-34 years,118,3227239,0.82,"526,319,673,732",13400,Millenials
Argentina,2014,female,55-74 years,109,3454994,0.82,"526,319,673,732",13400,Boomers
Argentina,2014,female,75+ years,25,1323654,0.82,"526,319,673,732",13400,Silent
Argentina,2014,female,5-14 years,35,3533961,0.82,"526,319,673,732",13400,Generation Z
Argentina,2014,male,5-14 years,34,3655965,0.82,"526,319,673,732",13400,Generation Z
Argentina,2015,male,75+ years,245,712691,0.822,"594,749,285,413",14981,Silent
Argentina,2015,male,15-24 years,656,3500580,0.822,"594,749,285,413",14981,Millenials
Argentina,2015,male,55-74 years,431,3011963,0.822,"594,749,285,413",14981,Boomers
Argentina,2015,male,25-34 years,465,3289927,0.822,"594,749,285,413",14981,Millenials
Argentina,2015,male,35-54 years,633,5166179,0.822,"594,749,285,413",14981,Generation X
Argentina,2015,female,15-24 years,153,3394201,0.822,"594,749,285,413",14981,Millenials
Argentina,2015,female,55-74 years,125,3520779,0.822,"594,749,285,413",14981,Boomers
Argentina,2015,female,25-34 years,114,3235582,0.822,"594,749,285,413",14981,Millenials
Argentina,2015,female,35-54 years,166,5301368,0.822,"594,749,285,413",14981,Generation X
Argentina,2015,female,75+ years,27,1344980,0.822,"594,749,285,413",14981,Silent
Argentina,2015,male,5-14 years,39,3672155,0.822,"594,749,285,413",14981,Generation Z
Argentina,2015,female,5-14 years,19,3549219,0.822,"594,749,285,413",14981,Generation Z
Armenia,2011,female,75+ years,6,86643,0.731,"10,142,111,334",3798,Silent
Armenia,2011,male,35-54 years,23,341199,0.731,"10,142,111,334",3798,Generation X
Armenia,2011,male,55-74 years,11,194982,0.731,"10,142,111,334",3798,Boomers
Armenia,2011,male,25-34 years,8,209914,0.731,"10,142,111,334",3798,Millenials
Armenia,2011,male,75+ years,2,55565,0.731,"10,142,111,334",3798,Silent
Armenia,2011,male,15-24 years,7,245227,0.731,"10,142,111,334",3798,Millenials
Armenia,2011,female,15-24 years,4,259823,0.731,"10,142,111,334",3798,Millenials
Armenia,2011,female,55-74 years,3,256541,0.731,"10,142,111,334",3798,Boomers
Armenia,2011,female,35-54 years,3,422179,0.731,"10,142,111,334",3798,Generation X
Armenia,2011,female,25-34 years,0,244912,0.731,"10,142,111,334",3798,Millenials
Armenia,2011,female,5-14 years,0,164004,0.731,"10,142,111,334",3798,Generation Z
Armenia,2011,male,5-14 years,0,189377,0.731,"10,142,111,334",3798,Generation Z
Armenia,2012,male,75+ years,5,56598,0.737,"10,619,320,049",3773,Silent
Armenia,2012,male,35-54 years,26,376743,0.737,"10,619,320,049",3773,Generation X
Armenia,2012,male,55-74 years,11,212482,0.737,"10,619,320,049",3773,Boomers
Armenia,2012,male,25-34 years,11,245443,0.737,"10,619,320,049",3773,Millenials
Armenia,2012,female,75+ years,3,91237,0.737,"10,619,320,049",3773,Silent
Armenia,2012,male,15-24 years,5,255119,0.737,"10,619,320,049",3773,Millenials
Armenia,2012,female,35-54 years,7,428953,0.737,"10,619,320,049",3773,Generation X
Armenia,2012,female,25-34 years,4,259768,0.737,"10,619,320,049",3773,Millenials
Armenia,2012,female,55-74 years,4,273394,0.737,"10,619,320,049",3773,Boomers
Armenia,2012,female,15-24 years,2,255088,0.737,"10,619,320,049",3773,Millenials
Armenia,2012,male,5-14 years,1,192409,0.737,"10,619,320,049",3773,Generation Z
Armenia,2012,female,5-14 years,0,167066,0.737,"10,619,320,049",3773,Generation Z
Armenia,2013,male,75+ years,7,58640,0.742,"11,121,465,767",3957,Silent
Armenia,2013,female,75+ years,6,95093,0.742,"11,121,465,767",3957,Silent
Armenia,2013,male,55-74 years,11,218063,0.742,"11,121,465,767",3957,Boomers
Armenia,2013,female,55-74 years,11,280566,0.742,"11,121,465,767",3957,Boomers
Armenia,2013,male,25-34 years,9,250487,0.742,"11,121,465,767",3957,Millenials
Armenia,2013,male,35-54 years,13,370440,0.742,"11,121,465,767",3957,Generation X
Armenia,2013,female,35-54 years,6,423841,0.742,"11,121,465,767",3957,Generation X
Armenia,2013,male,15-24 years,2,243687,0.742,"11,121,465,767",3957,Millenials
Armenia,2013,male,5-14 years,1,193754,0.742,"11,121,465,767",3957,Generation Z
Armenia,2013,female,15-24 years,1,242386,0.742,"11,121,465,767",3957,Millenials
Armenia,2013,female,25-34 years,0,265616,0.742,"11,121,465,767",3957,Millenials
Armenia,2013,female,5-14 years,0,168091,0.742,"11,121,465,767",3957,Generation Z
Armenia,2014,male,75+ years,9,60108,0.745,"11,609,512,940",4142,Silent
Armenia,2014,female,75+ years,6,98118,0.745,"11,609,512,940",4142,Silent
Armenia,2014,male,55-74 years,12,224430,0.745,"11,609,512,940",4142,Boomers
Armenia,2014,male,35-54 years,13,363362,0.745,"11,609,512,940",4142,Generation X
Armenia,2014,male,25-34 years,6,253461,0.745,"11,609,512,940",4142,Millenials
Armenia,2014,female,55-74 years,4,288822,0.745,"11,609,512,940",4142,Boomers
Armenia,2014,male,15-24 years,3,230760,0.745,"11,609,512,940",4142,Millenials
Armenia,2014,female,15-24 years,2,227895,0.745,"11,609,512,940",4142,Millenials
Armenia,2014,female,5-14 years,1,171332,0.745,"11,609,512,940",4142,Generation Z
Armenia,2014,female,35-54 years,2,417829,0.745,"11,609,512,940",4142,Generation X
Armenia,2014,female,25-34 years,0,269937,0.745,"11,609,512,940",4142,Millenials
Armenia,2014,male,5-14 years,0,196975,0.745,"11,609,512,940",4142,Generation Z
Armenia,2015,male,75+ years,12,61355,0.748,"10,553,337,673",3775,Silent
Armenia,2015,male,55-74 years,16,231213,0.748,"10,553,337,673",3775,Boomers
Armenia,2015,female,75+ years,5,100754,0.748,"10,553,337,673",3775,Silent
Armenia,2015,male,35-54 years,15,356715,0.748,"10,553,337,673",3775,Generation X
Armenia,2015,male,25-34 years,10,255540,0.748,"10,553,337,673",3775,Millenials
Armenia,2015,female,55-74 years,5,297936,0.748,"10,553,337,673",3775,Boomers
Armenia,2015,female,15-24 years,3,212010,0.748,"10,553,337,673",3775,Millenials
Armenia,2015,female,35-54 years,4,412360,0.748,"10,553,337,673",3775,Generation X
Armenia,2015,male,15-24 years,2,216876,0.748,"10,553,337,673",3775,Millenials
Armenia,2015,female,25-34 years,2,274108,0.748,"10,553,337,673",3775,Millenials
Armenia,2015,female,5-14 years,0,175417,0.748,"10,553,337,673",3775,Generation Z
Armenia,2015,male,5-14 years,0,201051,0.748,"10,553,337,673",3775,Generation Z
Aruba,2011,male,55-74 years,3,8940,,"2,584,463,687",27066,Boomers
Aruba,2011,male,35-54 years,3,15388,,"2,584,463,687",27066,Generation X
Aruba,2011,female,25-34 years,1,6264,,"2,584,463,687",27066,Millenials
Aruba,2011,male,15-24 years,1,6706,,"2,584,463,687",27066,Millenials
Aruba,2011,female,55-74 years,1,10536,,"2,584,463,687",27066,Boomers
Aruba,2011,female,15-24 years,0,6272,,"2,584,463,687",27066,Millenials
Aruba,2011,female,35-54 years,0,17691,,"2,584,463,687",27066,Generation X
Aruba,2011,female,5-14 years,0,7064,,"2,584,463,687",27066,Generation Z
Aruba,2011,female,75+ years,0,2358,,"2,584,463,687",27066,Silent
Aruba,2011,male,25-34 years,0,5440,,"2,584,463,687",27066,Millenials
Aruba,2011,male,5-14 years,0,7324,,"2,584,463,687",27066,Generation Z
Aruba,2011,male,75+ years,0,1505,,"2,584,463,687",27066,Silent
Australia,2011,male,75+ years,146,588053,0.925,"1,394,280,784,778",66770,Silent
Australia,2011,male,35-54 years,704,3072726,0.925,"1,394,280,784,778",66770,Generation X
Australia,2011,male,25-34 years,347,1610295,0.925,"1,394,280,784,778",66770,Millenials
Australia,2011,male,55-74 years,366,2104816,0.925,"1,394,280,784,778",66770,Boomers
Australia,2011,male,15-24 years,242,1570069,0.925,"1,394,280,784,778",66770,Millenials
Australia,2011,female,35-54 years,230,3124328,0.925,"1,394,280,784,778",66770,Generation X
Australia,2011,female,15-24 years,93,1495053,0.925,"1,394,280,784,778",66770,Millenials
Australia,2011,female,55-74 years,118,2139108,0.925,"1,394,280,784,778",66770,Boomers
Australia,2011,female,75+ years,45,817927,0.925,"1,394,280,784,778",66770,Silent
Australia,2011,female,25-34 years,85,1584036,0.925,"1,394,280,784,778",66770,Millenials
Australia,2011,female,5-14 years,9,1351751,0.925,"1,394,280,784,778",66770,Generation Z
Australia,2011,male,5-14 years,7,1423748,0.925,"1,394,280,784,778",66770,Generation Z
Australia,2012,male,75+ years,158,606842,0.929,"1,543,411,012,580",72669,Silent
Australia,2012,male,35-54 years,802,3098534,0.929,"1,543,411,012,580",72669,Generation X
Australia,2012,male,25-34 years,351,1657638,0.929,"1,543,411,012,580",72669,Millenials
Australia,2012,male,55-74 years,396,2162980,0.929,"1,543,411,012,580",72669,Boomers
Australia,2012,male,15-24 years,217,1579672,0.929,"1,543,411,012,580",72669,Millenials
Australia,2012,female,35-54 years,258,3149749,0.929,"1,543,411,012,580",72669,Generation X
Australia,2012,female,15-24 years,109,1503934,0.929,"1,543,411,012,580",72669,Millenials
Australia,2012,female,75+ years,52,832122,0.929,"1,543,411,012,580",72669,Silent
Australia,2012,female,25-34 years,98,1630077,0.929,"1,543,411,012,580",72669,Millenials
Australia,2012,female,55-74 years,123,2206179,0.929,"1,543,411,012,580",72669,Boomers
Australia,2012,female,5-14 years,10,1368580,0.929,"1,543,411,012,580",72669,Generation Z
Australia,2012,male,5-14 years,6,1442602,0.929,"1,543,411,012,580",72669,Generation Z
Australia,2013,male,75+ years,160,627275,0.931,"1,573,696,522,007",72856,Silent
Australia,2013,male,35-54 years,754,3118829,0.931,"1,573,696,522,007",72856,Generation X
Australia,2013,male,25-34 years,329,1702401,0.931,"1,573,696,522,007",72856,Millenials
Australia,2013,male,55-74 years,418,2221866,0.931,"1,573,696,522,007",72856,Boomers
Australia,2013,male,15-24 years,267,1591539,0.931,"1,573,696,522,007",72856,Millenials
Australia,2013,female,35-54 years,275,3171477,0.931,"1,573,696,522,007",72856,Generation X
Australia,2013,female,55-74 years,145,2276104,0.931,"1,573,696,522,007",72856,Boomers
Australia,2013,female,15-24 years,95,1512779,0.931,"1,573,696,522,007",72856,Millenials
Australia,2013,female,25-34 years,95,1676648,0.931,"1,573,696,522,007",72856,Millenials
Australia,2013,female,75+ years,48,847577,0.931,"1,573,696,522,007",72856,Silent
Australia,2013,male,5-14 years,16,1464302,0.931,"1,573,696,522,007",72856,Generation Z
Australia,2013,female,5-14 years,6,1389383,0.931,"1,573,696,522,007",72856,Generation Z
Australia,2014,male,35-54 years,866,3130341,0.933,"1,464,955,475,994",66809,Generation X
Australia,2014,male,75+ years,164,649925,0.933,"1,464,955,475,994",66809,Silent
Australia,2014,male,25-34 years,404,1730968,0.933,"1,464,955,475,994",66809,Millenials
Australia,2014,male,55-74 years,471,2279114,0.933,"1,464,955,475,994",66809,Boomers
Australia,2014,male,15-24 years,271,1604935,0.933,"1,464,955,475,994",66809,Millenials
Australia,2014,female,35-54 years,277,3189475,0.933,"1,464,955,475,994",66809,Generation X
Australia,2014,female,25-34 years,119,1716803,0.933,"1,464,955,475,994",66809,Millenials
Australia,2014,female,55-74 years,157,2344644,0.933,"1,464,955,475,994",66809,Boomers
Australia,2014,female,15-24 years,96,1520955,0.933,"1,464,955,475,994",66809,Millenials
Australia,2014,female,75+ years,45,865915,0.933,"1,464,955,475,994",66809,Silent
Australia,2014,female,5-14 years,15,1408758,0.933,"1,464,955,475,994",66809,Generation Z
Australia,2014,male,5-14 years,6,1485754,0.933,"1,464,955,475,994",66809,Generation Z
Australia,2015,male,35-54 years,944,3149299,0.936,"1,349,034,029,453",60656,Generation X
Australia,2015,male,75+ years,181,673787,0.936,"1,349,034,029,453",60656,Silent
Australia,2015,male,25-34 years,423,1762265,0.936,"1,349,034,029,453",60656,Millenials
Australia,2015,male,55-74 years,457,2337430,0.936,"1,349,034,029,453",60656,Boomers
Australia,2015,male,15-24 years,281,1608990,0.936,"1,349,034,029,453",60656,Millenials
Australia,2015,female,35-54 years,294,3203643,0.936,"1,349,034,029,453",60656,Generation X
Australia,2015,female,15-24 years,110,1526305,0.936,"1,349,034,029,453",60656,Millenials
Australia,2015,female,25-34 years,119,1747715,0.936,"1,349,034,029,453",60656,Millenials
Australia,2015,female,55-74 years,152,2411343,0.936,"1,349,034,029,453",60656,Boomers
Australia,2015,female,75+ years,52,884347,0.936,"1,349,034,029,453",60656,Silent
Australia,2015,female,5-14 years,8,1428159,0.936,"1,349,034,029,453",60656,Generation Z
Australia,2015,male,5-14 years,6,1507502,0.936,"1,349,034,029,453",60656,Generation Z
Austria,2011,male,75+ years,196,245207,0.897,"431,120,310,089",53923,Silent
Austria,2011,male,55-74 years,276,855700,0.897,"431,120,310,089",53923,Boomers
Austria,2011,male,35-54 years,336,1292255,0.897,"431,120,310,089",53923,Generation X
Austria,2011,male,25-34 years,97,546027,0.897,"431,120,310,089",53923,Millenials
Austria,2011,female,75+ years,58,431128,0.897,"431,120,310,089",53923,Silent
Austria,2011,male,15-24 years,67,518095,0.897,"431,120,310,089",53923,Millenials
Austria,2011,female,55-74 years,113,942311,0.897,"431,120,310,089",53923,Boomers
Austria,2011,female,35-54 years,95,1288452,0.897,"431,120,310,089",53923,Generation X
Austria,2011,female,15-24 years,23,498172,0.897,"431,120,310,089",53923,Millenials
Austria,2011,female,25-34 years,23,542031,0.897,"431,120,310,089",53923,Millenials
Austria,2011,male,5-14 years,3,428198,0.897,"431,120,310,089",53923,Generation Z
Austria,2011,female,5-14 years,1,407570,0.897,"431,120,310,089",53923,Generation Z
Austria,2012,male,75+ years,189,250032,0.899,"409,425,234,155",50979,Silent
Austria,2012,male,55-74 years,298,874391,0.899,"409,425,234,155",50979,Boomers
Austria,2012,male,35-54 years,332,1286522,0.899,"409,425,234,155",50979,Generation X
Austria,2012,male,25-34 years,99,553047,0.899,"409,425,234,155",50979,Millenials
Austria,2012,female,75+ years,76,430436,0.899,"409,425,234,155",50979,Silent
Austria,2012,male,15-24 years,66,519503,0.899,"409,425,234,155",50979,Millenials
Austria,2012,female,55-74 years,99,962372,0.899,"409,425,234,155",50979,Boomers
Austria,2012,female,35-54 years,87,1283769,0.899,"409,425,234,155",50979,Generation X
Austria,2012,female,25-34 years,20,547787,0.899,"409,425,234,155",50979,Millenials
Austria,2012,female,15-24 years,6,497838,0.899,"409,425,234,155",50979,Millenials
Austria,2012,male,5-14 years,3,422849,0.899,"409,425,234,155",50979,Generation Z
Austria,2012,female,5-14 years,1,402730,0.899,"409,425,234,155",50979,Generation Z
Austria,2013,male,75+ years,221,255540,0.897,"430,068,712,972",53229,Silent
Austria,2013,male,55-74 years,299,893602,0.897,"430,068,712,972",53229,Boomers
Austria,2013,male,35-54 years,317,1282009,0.897,"430,068,712,972",53229,Generation X
Austria,2013,female,75+ years,64,431074,0.897,"430,068,712,972",53229,Silent
Austria,2013,male,25-34 years,75,563630,0.897,"430,068,712,972",53229,Millenials
Austria,2013,female,55-74 years,118,981829,0.897,"430,068,712,972",53229,Boomers
Austria,2013,male,15-24 years,54,518852,0.897,"430,068,712,972",53229,Millenials
Austria,2013,female,35-54 years,94,1279480,0.897,"430,068,712,972",53229,Generation X
Austria,2013,female,25-34 years,25,556475,0.897,"430,068,712,972",53229,Millenials
Austria,2013,female,15-24 years,20,496526,0.897,"430,068,712,972",53229,Millenials
Austria,2013,female,5-14 years,3,400256,0.897,"430,068,712,972",53229,Generation Z
Austria,2013,male,5-14 years,1,420342,0.897,"430,068,712,972",53229,Generation Z
Austria,2014,male,75+ years,206,269625,0.901,"441,885,415,806",54278,Silent
Austria,2014,male,55-74 years,282,906857,0.901,"441,885,415,806",54278,Boomers
Austria,2014,male,35-54 years,321,1280204,0.901,"441,885,415,806",54278,Generation X
Austria,2014,female,75+ years,77,442472,0.901,"441,885,415,806",54278,Silent
Austria,2014,male,25-34 years,100,576126,0.901,"441,885,415,806",54278,Millenials
Austria,2014,male,15-24 years,79,516580,0.901,"441,885,415,806",54278,Millenials
Austria,2014,female,55-74 years,108,993973,0.901,"441,885,415,806",54278,Boomers
Austria,2014,female,35-54 years,93,1276047,0.901,"441,885,415,806",54278,Generation X
Austria,2014,female,25-34 years,29,566622,0.901,"441,885,415,806",54278,Millenials
Austria,2014,female,15-24 years,17,493605,0.901,"441,885,415,806",54278,Millenials
Austria,2014,male,5-14 years,2,419646,0.901,"441,885,415,806",54278,Generation Z
Austria,2014,female,5-14 years,0,399408,0.901,"441,885,415,806",54278,Generation Z
Austria,2015,male,75+ years,214,290329,0.903,"382,065,930,308",46484,Silent
Austria,2015,male,55-74 years,294,915115,0.903,"382,065,930,308",46484,Boomers
Austria,2015,male,35-54 years,313,1279822,0.903,"382,065,930,308",46484,Generation X
Austria,2015,female,75+ years,70,461676,0.903,"382,065,930,308",46484,Silent
Austria,2015,male,25-34 years,78,590968,0.903,"382,065,930,308",46484,Millenials
Austria,2015,male,15-24 years,61,519646,0.903,"382,065,930,308",46484,Millenials
Austria,2015,female,55-74 years,100,998854,0.903,"382,065,930,308",46484,Boomers
Austria,2015,female,35-54 years,79,1273034,0.903,"382,065,930,308",46484,Generation X
Austria,2015,female,15-24 years,19,490742,0.903,"382,065,930,308",46484,Millenials
Austria,2015,female,25-34 years,21,576661,0.903,"382,065,930,308",46484,Millenials
Austria,2015,female,5-14 years,1,400831,0.903,"382,065,930,308",46484,Generation Z
Austria,2015,male,5-14 years,1,421708,0.903,"382,065,930,308",46484,Generation Z
Bahamas,2011,male,55-74 years,1,22178,0.793,"10,070,450,000",29761,Boomers
Bahamas,2011,female,25-34 years,1,29138,0.793,"10,070,450,000",29761,Millenials
Bahamas,2011,male,15-24 years,1,32343,0.793,"10,070,450,000",29761,Millenials
Bahamas,2011,male,35-54 years,1,50932,0.793,"10,070,450,000",29761,Generation X
Bahamas,2011,female,15-24 years,0,32120,0.793,"10,070,450,000",29761,Millenials
Bahamas,2011,female,35-54 years,0,53821,0.793,"10,070,450,000",29761,Generation X
Bahamas,2011,female,5-14 years,0,26108,0.793,"10,070,450,000",29761,Generation Z
Bahamas,2011,female,55-74 years,0,26262,0.793,"10,070,450,000",29761,Boomers
Bahamas,2011,female,75+ years,0,6106,0.793,"10,070,450,000",29761,Silent
Bahamas,2011,male,25-34 years,0,28997,0.793,"10,070,450,000",29761,Millenials
Bahamas,2011,male,5-14 years,0,27054,0.793,"10,070,450,000",29761,Generation Z
Bahamas,2011,male,75+ years,0,3324,0.793,"10,070,450,000",29761,Silent
Bahamas,2012,male,15-24 years,2,32716,0.807,"10,720,500,000",31204,Millenials
Bahamas,2012,male,35-54 years,2,51466,0.807,"10,720,500,000",31204,Generation X
Bahamas,2012,female,35-54 years,1,54245,0.807,"10,720,500,000",31204,Generation X
Bahamas,2012,female,15-24 years,0,32430,0.807,"10,720,500,000",31204,Millenials
Bahamas,2012,female,25-34 years,0,29909,0.807,"10,720,500,000",31204,Millenials
Bahamas,2012,female,5-14 years,0,25670,0.807,"10,720,500,000",31204,Generation Z
Bahamas,2012,female,55-74 years,0,27444,0.807,"10,720,500,000",31204,Boomers
Bahamas,2012,female,75+ years,0,6463,0.807,"10,720,500,000",31204,Silent
Bahamas,2012,male,25-34 years,0,29740,0.807,"10,720,500,000",31204,Millenials
Bahamas,2012,male,5-14 years,0,26675,0.807,"10,720,500,000",31204,Generation Z
